GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
job4j_design,ru.job4j.generics,Tiger,3,0,0,0,1,0,1,0,1,0
job4j_design,ru.job4j.generics,Predator,3,0,0,0,1,0,1,0,1,0
job4j_design,ru.job4j.generics,Generics,111,0,6,0,33,0,8,0,5,0
job4j_design,ru.job4j.generics,Animal,3,0,0,0,1,0,1,0,1,0
job4j_design,ru.job4j.question,Info,27,64,6,6,3,18,7,8,1,8
job4j_design,ru.job4j.question,Analize,3,82,0,8,1,14,1,5,1,1
job4j_design,ru.job4j.question,User,20,50,6,4,6,11,7,5,2,5
job4j_design,ru.job4j.iterator,BackwardArrayIterator,0,39,0,4,0,8,0,5,0,3
job4j_design,ru.job4j.iterator,ArrayIt,1,30,1,1,0,6,1,3,0,3
job4j_design,ru.job4j.iterator,ListUtils,3,68,1,7,1,21,2,8,1,5
job4j_design,ru.job4j.iterator,FlatMap,41,39,2,6,9,10,2,6,1,3
job4j_design,ru.job4j.iterator,Balancer,3,25,0,6,1,6,1,4,1,1
job4j_design,ru.job4j.iterator,CyclicIterator,0,36,0,4,0,7,0,5,0,3
job4j_design,ru.job4j.iterator,EvenNumbersIterator,0,56,0,8,0,9,0,7,0,3
job4j_design,ru.job4j.iterator,NonNullIterator,0,53,0,8,0,9,0,7,0,3
job4j_design,ru.job4j.iterator,MatrixIterator,0,63,0,8,0,10,0,7,0,3
job4j_design,ru.job4j.assertj,Box,0,86,0,14,0,25,0,15,0,6
job4j_design,ru.job4j.assertj,SimpleConvert,0,53,0,2,0,6,0,11,0,10
job4j_design,ru.job4j.io.duplicates,DuplicatesVisitor,92,0,6,0,14,0,7,0,4,0
job4j_design,ru.job4j.io.duplicates,DuplicatesFinder,17,0,0,0,5,0,2,0,2,0
job4j_design,ru.job4j.io.duplicates,FileProperty,71,0,10,0,17,0,12,0,7,0
job4j_design,ru.job4j.map,NonCollisionMap.MapEntry,0,9,0,0,0,4,0,1,0,1
job4j_design,ru.job4j.map,NonCollisionMap.new Iterator() {...},0,77,0,8,0,13,0,7,0,3
job4j_design,ru.job4j.map,User,200,0,14,0,32,0,11,0,4,0
job4j_design,ru.job4j.map,NonCollisionMap,0,213,2,20,0,39,2,19,0,10
job4j_design,ru.job4j.generic,RoleStore,0,30,0,0,0,8,0,5,0,5
job4j_design,ru.job4j.generic,Base,0,9,0,0,0,4,0,2,0,2
job4j_design,ru.job4j.generic,UserStore,0,30,0,0,0,8,0,5,0,5
job4j_design,ru.job4j.generic,User,0,10,0,0,0,4,0,2,0,2
job4j_design,ru.job4j.generic,MemStore,0,39,0,0,0,8,0,5,0,5
job4j_design,ru.job4j.generic,Role,0,10,0,0,0,4,0,2,0,2
job4j_design,ru.job4j.tree,SimpleTree,0,95,1,9,0,21,1,11,0,7
job4j_design,ru.job4j.tree,Tree.Node,0,11,0,0,0,4,0,1,0,1
job4j_design,ru.job4j.set,SimpleArraySet,0,51,0,8,0,14,0,8,0,4
job4j_design,ru.job4j.collection,RevertLinked,0,71,0,12,0,22,0,10,0,4
job4j_design,ru.job4j.collection,SimpleArrayList.new Iterator() {...},0,53,0,6,0,9,0,6,0,3
job4j_design,ru.job4j.collection,SimpleArrayList,0,132,0,4,0,24,0,10,0,8
job4j_design,ru.job4j.collection,SimpleLinkedList,0,67,0,6,0,17,0,7,0,4
job4j_design,ru.job4j.collection,ForwardLinked.new Iterator() {...},4,47,1,5,1,10,1,5,0,3
job4j_design,ru.job4j.collection,SimpleLinkedList.Node,0,9,0,0,0,4,0,1,0,1
job4j_design,ru.job4j.collection,RevertLinked.new Iterator() {...},5,31,2,2,1,7,2,3,0,3
job4j_design,ru.job4j.collection,RevertLinked.Node,0,9,0,0,0,4,0,1,0,1
job4j_design,ru.job4j.collection,ForwardLinked.Node,0,9,0,0,0,4,0,1,0,1
job4j_design,ru.job4j.collection,ForwardLinked,0,128,0,8,0,31,0,10,0,6
job4j_design,ru.job4j.collection,SimpleLinkedList.new Iterator() {...},8,43,2,4,2,9,2,4,0,3
job4j_design,ru.job4j.collection,SimpleStack,0,17,0,0,0,5,0,3,0,3
job4j_design,ru.job4j.collection,SimpleQueue,0,86,0,6,0,18,0,6,0,3
job4j_design,ru.job4j.io,Search,91,0,8,0,17,0,9,0,5,0
job4j_design,ru.job4j.io,LogFilter,96,0,10,0,26,0,9,0,4,0
job4j_design,ru.job4j.io,ResultFile,36,0,2,0,9,0,3,0,2,0
job4j_design,ru.job4j.io,Dir,87,0,6,0,10,0,5,0,2,0
job4j_design,ru.job4j.io,ArgsName,35,141,0,14,5,22,1,11,1,4
job4j_design,ru.job4j.io,EchoServer,65,0,6,0,19,0,5,0,2,0
job4j_design,ru.job4j.io,Analysis,19,80,6,8,7,17,6,4,1,2
job4j_design,ru.job4j.io,Config,39,88,0,14,11,18,2,10,2,3
job4j_design,ru.job4j.io,EvenNumberFile,60,0,6,0,12,0,5,0,2,0
job4j_design,ru.job4j.io,SearchFiles,32,0,2,0,11,0,7,0,6,0
job4j_design,ru.job4j.io,ConsoleChat,212,0,18,0,52,0,16,0,6,0
job4j_design,ru.job4j.io,ConsoleDemo,50,0,2,0,11,0,3,0,2,0
job4j_design,ru.job4j.io,CSVReader,167,154,22,16,29,29,16,7,3,1
job4j_design,ru.job4j.io,Zip,190,0,14,0,37,0,13,0,6,0
